,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
6,su,reliefF,15,0.12,139.0,0.085,158.0,0.074,177.0,0.022,591.0,0.177,139.0,0.128,158.0,0.126,160.0,0.022,452.0,19.0,2.0,414.0,292.0,5.025
21,spearman,reliefF,13,0.482,140.0,0.347,158.0,0.329,164.0,0.032,640.0,0.177,139.0,0.128,158.0,0.126,160.0,0.041,386.0,6.0,2.0,476.0,226.0,3.434
43,reliefF,anova,13,0.177,139.0,0.128,158.0,0.126,160.0,0.041,386.0,0.889,141.0,0.448,158.0,0.417,161.0,0.006,585.0,2.0,3.0,226.0,424.0,3.301
27,pearson,reliefF,13,0.442,141.0,0.331,158.0,0.32,161.0,0.039,585.0,0.177,139.0,0.128,158.0,0.126,160.0,0.041,386.0,3.0,2.0,424.0,226.0,3.25
14,fechner,reliefF,13,0.409,141.0,0.302,158.0,0.295,160.0,0.031,530.0,0.177,139.0,0.128,158.0,0.126,160.0,0.063,317.0,2.0,2.0,370.0,157.0,3.03
32,igain,reliefF,13,0.167,141.0,0.105,158.0,0.101,161.0,0.047,414.0,0.177,139.0,0.128,158.0,0.126,160.0,0.063,317.0,3.0,2.0,253.0,157.0,2.927
39,chi2,reliefF,13,0.938,141.0,0.617,158.0,0.606,161.0,0.27,380.0,0.177,139.0,0.128,158.0,0.126,160.0,0.063,317.0,3.0,2.0,219.0,157.0,2.88
36,gini,reliefF,13,0.139,141.0,0.092,158.0,0.09,161.0,0.04,380.0,0.177,139.0,0.128,158.0,0.126,160.0,0.063,317.0,3.0,2.0,219.0,157.0,2.88
4,su,gini,7,0.094,147.0,0.085,158.0,0.081,161.0,0.062,209.0,0.118,148.0,0.092,158.0,0.081,168.0,0.045,326.0,3.0,10.0,48.0,158.0,1.791
5,su,chi2,7,0.094,147.0,0.085,158.0,0.081,161.0,0.062,209.0,0.797,148.0,0.617,158.0,0.546,168.0,0.304,326.0,3.0,10.0,48.0,158.0,1.791
