,score,features_number,model
0,0.05,1,pmelif
1,0.0,1,melif
2,0.05,2,pmelif
3,0.05,2,melif
4,0.05,3,pmelif
5,0.05,3,melif
6,0.05,4,pmelif
7,0.05,4,melif
8,0.05,5,pmelif
9,0.05,5,melif
10,0.05,6,pmelif
11,0.05,6,melif
12,0.05,7,pmelif
13,0.1,7,melif
14,0.05,8,pmelif
15,0.05,8,melif
16,0.05,9,pmelif
17,0.05,9,melif
18,0.05,10,pmelif
19,0.05,10,melif
20,0.05,1,pmelif
21,0.0,1,melif
22,0.05,2,pmelif
23,0.05,2,melif
24,0.05,3,pmelif
25,0.05,3,melif
26,0.05,4,pmelif
27,0.05,4,melif
28,0.05,5,pmelif
29,0.05,5,melif
30,0.05,6,pmelif
31,0.05,6,melif
32,0.05,7,pmelif
33,0.05,7,melif
34,0.05,8,pmelif
35,0.05,8,melif
36,0.05,9,pmelif
37,0.05,9,melif
38,0.05,10,pmelif
39,0.05,10,melif
40,0.0,1,pmelif
41,0.0,1,melif
42,0.0,2,pmelif
43,0.0,2,melif
44,0.05,3,pmelif
45,0.0,3,melif
46,0.0,4,pmelif
47,0.0,4,melif
48,0.0,5,pmelif
49,0.0,5,melif
50,0.0,6,pmelif
51,0.05,6,melif
52,0.0,7,pmelif
53,0.0,7,melif
54,0.05,8,pmelif
55,0.0,8,melif
56,0.05,9,pmelif
57,0.0,9,melif
58,0.05,10,pmelif
59,0.0,10,melif
60,0.1,1,pmelif
61,0.1,1,melif
62,0.1,2,pmelif
63,0.1,2,melif
64,0.1,3,pmelif
65,0.1,3,melif
66,0.1,4,pmelif
67,0.1,4,melif
68,0.1,5,pmelif
69,0.1,5,melif
70,0.1,6,pmelif
71,0.1,6,melif
72,0.1,7,pmelif
73,0.15,7,melif
74,0.1,8,pmelif
75,0.1,8,melif
76,0.1,9,pmelif
77,0.1,9,melif
78,0.1,10,pmelif
79,0.15,10,melif
80,0.05,1,pmelif
81,0.15,1,melif
82,0.05,2,pmelif
83,0.05,2,melif
84,0.05,3,pmelif
85,0.05,3,melif
86,0.05,4,pmelif
87,0.05,4,melif
88,0.05,5,pmelif
89,0.0,5,melif
90,0.05,6,pmelif
91,0.05,6,melif
92,0.05,7,pmelif
93,0.0,7,melif
94,0.05,8,pmelif
95,0.0,8,melif
96,0.05,9,pmelif
97,0.0,9,melif
98,0.15,10,pmelif
99,0.0,10,melif
