,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
6,su,reliefF,15,0.12,0.0,0.085,19.0,0.081,22.0,0.028,613.0,0.178,0.0,0.139,19.0,0.135,23.0,0.017,506.0,3.0,4.0,591.0,483.0,5.128
43,reliefF,anova,11,0.178,0.0,0.139,19.0,0.135,23.0,0.044,243.0,0.889,2.0,0.448,19.0,0.426,21.0,0.056,238.0,4.0,2.0,220.0,217.0,2.603
21,spearman,reliefF,11,0.482,1.0,0.347,19.0,0.34,21.0,0.124,262.0,0.178,0.0,0.139,19.0,0.135,23.0,0.044,243.0,2.0,4.0,241.0,220.0,2.564
27,pearson,reliefF,11,0.442,2.0,0.331,19.0,0.323,21.0,0.123,238.0,0.178,0.0,0.139,19.0,0.135,23.0,0.044,243.0,2.0,4.0,217.0,220.0,2.534
14,fechner,reliefF,10,0.409,2.0,0.309,18.0,0.295,21.0,0.11,208.0,0.178,0.0,0.139,19.0,0.135,23.0,0.073,161.0,3.0,4.0,187.0,138.0,2.268
32,igain,reliefF,11,0.167,2.0,0.105,19.0,0.105,20.0,0.058,154.0,0.178,0.0,0.139,19.0,0.135,23.0,0.073,161.0,1.0,4.0,134.0,138.0,2.169
39,chi2,reliefF,10,0.937,2.0,0.619,18.0,0.604,20.0,0.328,125.0,0.178,0.0,0.139,19.0,0.135,23.0,0.073,161.0,2.0,4.0,105.0,138.0,2.039
36,gini,reliefF,10,0.139,2.0,0.093,18.0,0.091,20.0,0.051,125.0,0.178,0.0,0.139,19.0,0.135,23.0,0.073,161.0,2.0,4.0,105.0,138.0,2.039
4,su,gini,7,0.094,8.0,0.085,19.0,0.081,22.0,0.062,70.0,0.118,9.0,0.092,19.0,0.081,29.0,0.045,187.0,3.0,10.0,48.0,158.0,1.998
5,su,chi2,7,0.094,8.0,0.085,19.0,0.081,22.0,0.062,70.0,0.792,9.0,0.607,19.0,0.533,29.0,0.285,187.0,3.0,10.0,48.0,158.0,1.998
0,su,fechner,7,0.094,8.0,0.085,19.0,0.081,22.0,0.062,70.0,0.365,8.0,0.302,19.0,0.275,27.0,0.16,118.0,3.0,8.0,48.0,91.0,1.782
3,su,igain,7,0.094,8.0,0.085,19.0,0.081,22.0,0.062,69.0,0.135,10.0,0.105,19.0,0.099,24.0,0.059,147.0,3.0,5.0,47.0,123.0,1.653
2,su,pearson,6,0.093,9.0,0.085,19.0,0.081,22.0,0.064,63.0,0.397,10.0,0.339,18.0,0.318,23.0,0.249,60.0,3.0,5.0,41.0,37.0,1.38
8,su,anova,6,0.093,9.0,0.085,19.0,0.081,22.0,0.064,63.0,0.682,10.0,0.473,18.0,0.41,23.0,0.242,60.0,3.0,5.0,41.0,37.0,1.38
1,su,spearman,6,0.093,9.0,0.085,19.0,0.081,22.0,0.062,69.0,0.418,11.0,0.347,19.0,0.331,23.0,0.271,54.0,3.0,4.0,47.0,31.0,1.309
41,chi2,anova,2,0.636,17.0,0.607,19.0,0.563,25.0,0.533,29.0,0.473,17.0,0.448,19.0,0.448,20.0,0.426,21.0,6.0,1.0,4.0,1.0,0.908
38,gini,anova,2,0.096,17.0,0.092,19.0,0.085,25.0,0.081,29.0,0.473,17.0,0.448,19.0,0.448,20.0,0.426,21.0,6.0,1.0,4.0,1.0,0.908
19,spearman,gini,2,0.353,17.0,0.352,18.0,0.345,20.0,0.34,21.0,0.093,18.0,0.092,19.0,0.085,25.0,0.081,29.0,2.0,6.0,1.0,4.0,0.879
20,spearman,chi2,2,0.353,17.0,0.352,18.0,0.345,20.0,0.34,21.0,0.619,18.0,0.607,19.0,0.563,25.0,0.533,29.0,2.0,6.0,1.0,4.0,0.879
26,pearson,chi2,2,0.339,17.0,0.331,19.0,0.33,20.0,0.323,21.0,0.636,17.0,0.607,19.0,0.563,25.0,0.533,29.0,1.0,6.0,1.0,4.0,0.745
25,pearson,gini,2,0.339,17.0,0.331,19.0,0.33,20.0,0.323,21.0,0.096,17.0,0.092,19.0,0.085,25.0,0.081,29.0,1.0,6.0,1.0,4.0,0.745
18,spearman,igain,2,0.353,17.0,0.352,18.0,0.345,20.0,0.332,22.0,0.107,18.0,0.105,19.0,0.1,23.0,0.099,24.0,2.0,4.0,2.0,1.0,0.741
34,igain,anova,2,0.109,17.0,0.105,19.0,0.1,23.0,0.099,24.0,0.473,17.0,0.448,19.0,0.448,20.0,0.401,24.0,4.0,1.0,1.0,4.0,0.727
24,pearson,igain,2,0.339,17.0,0.331,19.0,0.33,20.0,0.315,24.0,0.109,17.0,0.105,19.0,0.1,23.0,0.099,24.0,1.0,4.0,4.0,1.0,0.611
11,fechner,igain,1,0.302,19.0,0.302,19.0,0.29,22.0,0.29,22.0,0.105,19.0,0.105,19.0,0.105,20.0,0.105,20.0,3.0,1.0,0.0,0.0,0.553
9,fechner,spearman,2,0.319,17.0,0.302,19.0,0.296,20.0,0.275,27.0,0.353,17.0,0.352,18.0,0.345,20.0,0.34,21.0,1.0,2.0,7.0,1.0,0.461
31,igain,chi2,1,0.105,19.0,0.105,19.0,0.105,20.0,0.105,20.0,0.607,19.0,0.607,19.0,0.598,21.0,0.598,21.0,1.0,2.0,0.0,0.0,0.389
30,igain,gini,1,0.105,19.0,0.105,19.0,0.105,20.0,0.105,20.0,0.092,19.0,0.092,19.0,0.09,21.0,0.09,21.0,1.0,2.0,0.0,0.0,0.389
17,spearman,pearson,1,0.347,19.0,0.347,19.0,0.345,20.0,0.345,20.0,0.339,18.0,0.339,18.0,0.33,20.0,0.33,20.0,1.0,2.0,0.0,0.0,0.389
23,spearman,anova,1,0.347,19.0,0.347,19.0,0.345,20.0,0.345,20.0,0.473,18.0,0.473,18.0,0.448,20.0,0.448,20.0,1.0,2.0,0.0,0.0,0.389
16,fechner,anova,2,0.309,18.0,0.302,19.0,0.296,20.0,0.275,27.0,0.473,17.0,0.448,19.0,0.448,20.0,0.426,21.0,1.0,1.0,7.0,1.0,0.374
10,fechner,pearson,2,0.309,18.0,0.302,19.0,0.296,20.0,0.275,27.0,0.339,17.0,0.331,19.0,0.33,20.0,0.323,21.0,1.0,1.0,7.0,1.0,0.374
35,gini,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,pearson,anova,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,fechner,chi2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,fechner,gini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
