,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
12,fechner,gini,10,0.115,5.0,0.04,18.0,0.025,57.0,0.0,257.0,0.067,8.0,0.04,19.0,0.036,43.0,0.002,252.0,39.0,24.0,200.0,209.0,2.89
13,fechner,chi2,10,0.115,5.0,0.04,18.0,0.025,57.0,0.0,257.0,0.596,8.0,0.358,19.0,0.314,43.0,0.015,252.0,39.0,24.0,200.0,209.0,2.89
11,fechner,igain,10,0.115,5.0,0.04,18.0,0.029,40.0,0.0,257.0,0.077,8.0,0.046,19.0,0.04,48.0,0.002,252.0,22.0,29.0,217.0,204.0,2.82
0,su,fechner,9,0.024,8.0,0.016,19.0,0.014,50.0,0.002,251.0,0.103,8.0,0.04,18.0,0.025,57.0,0.0,257.0,31.0,39.0,201.0,200.0,2.749
25,pearson,gini,10,0.125,5.0,0.042,19.0,0.021,63.0,0.002,234.0,0.067,8.0,0.04,19.0,0.037,33.0,0.01,210.0,44.0,14.0,171.0,177.0,2.689
26,pearson,chi2,10,0.125,5.0,0.042,19.0,0.021,63.0,0.002,234.0,0.596,8.0,0.358,19.0,0.332,33.0,0.086,210.0,44.0,14.0,171.0,177.0,2.689
41,chi2,anova,10,0.596,8.0,0.358,19.0,0.332,33.0,0.086,210.0,0.283,5.0,0.031,19.0,0.008,63.0,0.0,234.0,14.0,44.0,177.0,171.0,2.689
38,gini,anova,10,0.067,8.0,0.04,19.0,0.037,33.0,0.01,210.0,0.283,5.0,0.031,19.0,0.008,63.0,0.0,234.0,14.0,44.0,177.0,171.0,2.689
19,spearman,gini,10,0.133,5.0,0.041,19.0,0.022,64.0,0.005,213.0,0.067,8.0,0.04,19.0,0.037,33.0,0.012,195.0,45.0,14.0,149.0,162.0,2.601
20,spearman,chi2,10,0.133,5.0,0.041,19.0,0.022,64.0,0.005,213.0,0.596,8.0,0.358,19.0,0.332,33.0,0.102,195.0,45.0,14.0,149.0,162.0,2.601
34,igain,anova,10,0.077,8.0,0.046,19.0,0.043,31.0,0.011,213.0,0.283,5.0,0.031,19.0,0.019,35.0,0.0,234.0,12.0,16.0,182.0,199.0,2.519
